시도 , 시군구, 해수욕장명, 2021년, 2020년, 2019년, 2018년, 2017년, 2016년, 2015년 
'강원도','강릉시','강문','58344','67832','22331','15324','15290','16052','15273'
'강원도','강릉시','경포','266873','295998','5253855','6078228','5887080','5837700','6375694'
'강원도','강릉시','금진','2949','12089','24422','9793','1385','1342','2112'
'강원도','강릉시','남항진','0','0','3713','4103','3450','11680','15988'
'강원도','강릉시','도직','0','0','7072','1826','560','855','1216'
'강원도','강릉시','등명','7275','0','17818','8097','2890','10414','10988'
'강원도','강릉시','사근진','12102','6637','12730','14323','15350','17595','18375'
'강원도','강릉시','사천','6871','15720','7978','4761','11140','17378','8801'
'강원도','강릉시','사천진','25239','34315','11737','6172','19180','20901','8970'
'강원도','강릉시','송정','27355','24626','10458','7620','10895','10580','7808'
'강원도','강릉시','순긋','8045','4758','9142','10409','3820','5720','7786'
'강원도','강릉시','안목','90962','113056','132568','15715','28270','16690','25245'
'강원도','강릉시','안인','0','0','16365','6364','2250','2673','14170'
'강원도','강릉시','연곡','22161','16605','50051','15210','26428','9420','54495'
'강원도','강릉시','염전','0','0','0','4543','1810','2342','9477'
'강원도','강릉시','영진','30182','32588','41916','9357','3770','7955','20889'
'강원도','강릉시','옥계','4019','10479','67856','13935','16770','18475','37015'
'강원도','강릉시','정동진','61889','74223','114657','55733','18540','20282','128378'
'강원도','강릉시','주문진','81291','73422','296970','324590','199510','302690','369883'
'강원도','강릉시','하평','3607','5430','6387','3640','14210','23888','7882'
'강원도','고성군','가진','13730','1574','10584','9034','13258','14261','17596'
'강원도','고성군','거진1','13159','3335','15798','14478','17464','16934','15830'
'강원도','고성군','거진11','22734','4937','26537','23735','24127','24891','43705'
'강원도','고성군','공현진1','51929','3169','26545','24520','31411','36747','39375'
'강원도','고성군','공현진2','29583','2850','29083','26744','35138','39979','35466'
'강원도','고성군','교암','34698','4880','24740','22690','15196','12525','13171'
'강원도','고성군','대진1','10318','1292','9618','7693','10096','11906','10772'
'강원도','고성군','대진5','12321','1121','6457','5582','7704','9629','11055'
'강원도','고성군','마차진','11769','4125','82002','91190','139932','158676','43684'
'강원도','고성군','명파','10418','2348','4704','4653','23221','32769','30428'
'강원도','고성군','문암2','17849','1858','11818','10468','11257','11606','12536'
'강원도','고성군','반암','24887','1910','12491','10375','20139','23933','26485'
'강원도','고성군','백도','115634','10288','76188','78459','79007','70099','55752'
'강원도','고성군','봉수대','115708','6097','51360','77166','102710','91302','107556'
'강원도','고성군','봉포','76415','11930','75945','48200','58973','55982','69294'
'강원도','고성군','삼포','261024','10050','210735','224670','132062','136445','178929'
'강원도','고성군','삼포2','56637','4787','42727','43315','45855','43651','83764'
'강원도','고성군','송지호','296936','25118','239700','239122','341123','359181','484362'
'강원도','고성군','송지호오토캠핑장','29630','11402','105608','16332','20227','21889','20419'
'강원도','고성군','아야진','231526','43200','20408','92380','68070','61240','75249'
'강원도','고성군','자작도','61059','5510','18976','19850','32916','33486','31971'
'강원도','고성군','자작도 캠핑장','10108','0','0','0','0','0','0'
'강원도','고성군','천진','53448','10847','90955','85860','78508','72111','82034'
'강원도','고성군','청간','13960','3517','23514','22430','29464','24053','25691'
'강원도','고성군','초도','19403','1134','11190','9075','27835','37786','34627'
'강원도','고성군','켄싱턴리조트','27822','24193','72587','64063','100850','123187','97612'
'강원도','고성군','화진포','170096','10168','230201','229353','314658','414164','593521'
'강원도','고성군','화진포콘도','9397','6838','15022','0','9730','0','0'
'강원도','동해시','노봉','11057','5258','3620','3976','9400','10549','42776'
'강원도','동해시','대진','0','0','14139','13144','66484','53899','163054'
'강원도','동해시','망상','439936','473956','1095314','1127433','2428817','3355972','3360547'
'강원도','동해시','망상리조트','0','10443','9727','33882','78654','181212','191002'
'강원도','동해시','어달','20800','19377','21890','21985','58707','52997','142308'
'강원도','동해시','추암','226928','244221','680304','567249','1075697','467774','360218'
'강원도','삼척시','궁촌','0','0','6828','22959','77066','85411','85143'
'강원도','삼척시','덕산','0','0','68380','58106','92212','122739','122186'
'강원도','삼척시','맹방','215450','159240','731157','629680','678988','897412','897185'
'강원도','삼척시','문암','0','6695','5944','20946','39377','50070','49157'
'강원도','삼척시','부남','4365','0','8144','18085','33089','46438','46245'
'강원도','삼척시','삼척','424370','491685','1993355','1465181','926973','928059','830235'
'강원도','삼척시','상맹방','0','0','9497','68628','165131','156380','156247'
'강원도','삼척시','오분','1269','1629','2838','45672','80669','51376','51060'
'강원도','삼척시','용화','10360','6716','114414','223615','440708','381534','381279'
'강원도','삼척시','원평','9200','5948','10610','17575','31509','48526','47911'
'강원도','삼척시','임원','0','0','2668','10630','23373','23957','19515'
'강원도','삼척시','작은후진','4750','2696','6038','87117','166298','194956','194766'
'강원도','삼척시','장호','9488','0','140038','277807','618148','735151','638835'
'강원도','삼척시','증산','11230','0','11895','93748','158510','201639','198679'
'강원도','삼척시','하맹방','4940','3710','6517','133072','283392','123235','122916'
'강원도','삼척시','한재밑','0','0','0','0','121280','139115','138681'
'강원도','속초시','등대','19577','30339','111741','22187','14271','16295','43093'
'강원도','속초시','속초','425213','289066','2536723','1979094','2987709','3515274','3540117'
'강원도','속초시','외옹치','78946','26486','215235','24324','0','26960','90435'
'강원도','양양군','갯마을','9489','6023','16918','9908','8208','13178','15116'
'강원도','양양군','광진','3924','3536','6793','4345','6162','10420','8601'
'강원도','양양군','기사문','6465','22717','40961','10926','10132','7523','9405'
'강원도','양양군','낙산','376482','367917','2639047','2800461','3368382','3726078','3939952'
'강원도','양양군','남애 1','4642','4972','15675','5507','4345','8538','7226'
'강원도','양양군','남애 3','21469','16398','30006','14141','15261','27676','24911'
'강원도','양양군','동산','3581','1873','4546','2010','2190','9180','7236'
'강원도','양양군','동산포','5510','5609','4542','3983','2188','6957','5302'
'강원도','양양군','동호','15132','32086','50762','43104','61512','108945','97468'
